filePath,SWC Categories
DAppSCAN-source/contracts/PeckShield-USR/USR-cf24e4d1525dd820b481f4b1d95a1cabf2dfec58/contracts/USR.sol,SWC-129-Typographical Error
DAppSCAN-source/contracts/PeckShield-USR/USR-05cfe29ac4d66b0169d7545562eb40536352fd63/contracts/USR.sol,SWC-114-Transaction Order Dependence
DAppSCAN-source/contracts/consensys-Skyweaver/Skyweaver-contracts-bde0c184db6168bf86656a48b12d5747950b54d9/contracts/shop/EternalHeroesFactory.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/Blockchain Labs NZ-SynchroLife/synchrocoin-contracts-master/contracts/SynchroCoin.sol,SWC-100-Function Default Visibility
DAppSCAN-source/contracts/Blockchain Labs NZ-SynchroLife/synchrocoin-contracts-master/contracts/Migrations.sol,SWC-100-Function Default Visibility
DAppSCAN-source/contracts/QuillAudits-Yearn Finance-SNX/yearnV2-strat-SNX-staking-91b839df4a350d80cb583795bccafe0836fdb732/contracts/Strategy.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Coinbae-Grumpee.Finance_Token/code/etherscan-0xdad57280919b81268e13591462fa80ef7d92b10c.sol,SWC-119-Shadowing State Variables
DAppSCAN-source/contracts/PeckShield-starkex/starkex-contracts-master/scalable-dex/contracts/src/components/ApprovalChain.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/HAECHI_AUDIT-Lixir/lixir-contracts-1423c9d8112f103d782bec2bff0558c6be1ca4cc/LixirStrategySimpleGWAP.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/HAECHI_AUDIT-Lixir/lixir-contracts-1423c9d8112f103d782bec2bff0558c6be1ca4cc/LixirVault.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Hacken-Argon Foundation/platform-contracts-8996d21499ede3f2eb36320ded9563f5467a0fa6/ArgonFreelancers.sol,SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/Inspex-ThorusDummy/contracts-main/ThorusDummy.sol,SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/Coinbae-Hakka_Finance_wHakka/code/wHakka.sol,"SWC-116-Block values as a proxy for time, SWC-107-Reentrancy"
DAppSCAN-source/contracts/PeckShield-TranchessV1.1/contract-core-68a86350313c1cb9e5467e791d3e9efaf228a0df/contracts/exchange/StakingV2.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Maker Dai Delegate/maker-dai-delegate-97949a51062df956fd0172b7b1c778f66844b634/contracts/Strategy.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/PeckShield-MilkySwap/milkyswap-59f163e9959cf8bae4a521a9648219b553312e07/contracts/MasterMilker.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/Iosiro-Synthetix Didpha Release Smart Contract Audit/synthetix-d7b8c122f7aaa69918bb53d8c981eec98677f220/FuturesMarket.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/Iosiro-Synthetix Didpha Release Smart Contract Audit/synthetix-d7b8c122f7aaa69918bb53d8c981eec98677f220/Issuer.sol,SWC-111-Use of Deprecated Solidity Functions
DAppSCAN-source/contracts/Iosiro-Synthetix Didpha Release Smart Contract Audit/synthetix-d7b8c122f7aaa69918bb53d8c981eec98677f220/FeePool.sol,SWC-111-Use of Deprecated Solidity Functions
DAppSCAN-source/contracts/consensys-Zer0_zBanc/zBanc-48da0ac1eebbe31a74742f1ae4281b156f03a4bc/solidity/contracts/converter/types/liquid-token/DynamicLiquidTokenConverter.sol,"SWC-107-Reentrancy, SWC-114-Transaction Order Dependence"
DAppSCAN-source/contracts/consensys-Zer0_zBanc/zBanc-48da0ac1eebbe31a74742f1ae4281b156f03a4bc/solidity/contracts/converter/types/liquid-token/DynamicLiquidTokenConverterFactory.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/precompiles/OVM_SequencerEntrypoint.sol,SWC-104-Unchecked Call Return Value
DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/precompiles/OVM_ProxySequencerEntrypoint.sol,SWC-104-Unchecked Call Return Value
DAppSCAN-source/contracts/openzeppelin-Optimism/contracts-18e128343731b9bde23812ce932e24d81440b6b7/contracts/optimistic-ethereum/OVM/bridge/tokens/OVM_L1ERC20Gateway.sol,SWC-104-Unchecked Call Return Value
DAppSCAN-source/contracts/openzeppelin-Recoverable_Wallet/recoverable-wallet-2207f5a7cc3b2607f7f97a769fbca7fe9235952b/contracts/source/recoverable-wallet.sol,"SWC-135-Code With No Effects, SWC-131-Presence of unused variables, SWC-114-Transaction Order Dependence"
DAppSCAN-source/contracts/Callisto_Network-Jarvis+ Token (JAR) Security Audit/code/JarvisPlusToken_flat.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/QuillAudits-Lido-Withdrawals Manager Stub/withdrawals-manager-stub-c41292ed9c3be765d06c4249b9f2ad4d427b84bf/contracts/WithdrawalsManagerProxy.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Iosiro-Timvi Governance Token and Distribution DAO Smart Contract Audit/Timvi-Governance-a6e5929701b5da5ef9980b668216410245da59b7/Distribution.sol,"SWC-101-Integer Overflow and Underflow, SWC-111-Use of Deprecated Solidity Functions"
DAppSCAN-source/contracts/openzeppelin-OpenBazaar’s_Escrow/smart-contracts-c4f02cdd41cb85d28bba637a01f20a8ee8bb04bd/contracts/escrow/Escrow_v1_0.sol,"SWC-131-Presence of unused variables, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/PeckShield-Venus/venus-protocol-48c7400f668116f5e5fa92299e28cf16b49b485c/contracts/VToken.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/consensys-0x_Protocol_v2/0x-monorepo-a05b14e4d9659be1cc495ee33fd8962ce773f87f/packages/contracts/src/2.0.0/protocol/AssetProxy/ERC20Proxy.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/consensys-0x_Protocol_v2/0x-monorepo-a05b14e4d9659be1cc495ee33fd8962ce773f87f/packages/contracts/src/2.0.0/protocol/Exchange/MixinAssetProxyDispatcher.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/consensys-0x_Protocol_v2/0x-monorepo-a05b14e4d9659be1cc495ee33fd8962ce773f87f/packages/contracts/src/2.0.0/protocol/Exchange/MixinSignatureValidator.sol,SWC-122-Lack of Proper Signature Verification
DAppSCAN-source/contracts/consensys-0x_Protocol_v2/0x-monorepo-a05b14e4d9659be1cc495ee33fd8962ce773f87f/packages/contracts/src/2.0.0/protocol/AssetProxyOwner/AssetProxyOwner.sol,SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/Iosiro-Synthetix Aloith Release Smart Contract Audit/synthetix-ac7dafbf461695ad10f41cdb2bcc32d3b9fc9caf/contracts/NativeEtherWrapper.sol,SWC-134-Message call with hardcoded gas amount
DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0/src/bridges/element/ElementBridge.sol,SWC-104-Unchecked Call Return Value
DAppSCAN-source/contracts/QuillAudits-biffy_love_audit.pdf/code/Etherscan-0x98a56c7b03eedb7acc46308611561622e51ec13a.sol,"SWC-103-Floating Pragma, SWC-104-Unchecked Call Return Value, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/ImmuneBytes-PolyTrade-Audit Report(Lender Portal)/lender-portal-contracts-dev/contracts/LenderPool.sol,SWC-114-Transaction Order Dependence
DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/pools/liquidation/Liquidator.sol,SWC-105-Unprotected Ether Withdrawal
DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/Vault.sol,SWC-119-Shadowing State Variables
DAppSCAN-source/contracts/BlockSec-blocksec_stnd_v1.7_signed/standard-evm-d7c016ca098a4e5a554583c499fc0cead4db7088/contracts/vaults/meter/VaultManager.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/QuillAudits-MatrixETF Smart Contract/MatrixETF-Pool-V2-2d5c5252e17f91680645fc6fb0d2108ff681037b/contracts/balancer-core/BPool.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/QuillAudits-RICE - v1.2/RICEToken/RICEToken.sol,"SWC-101-Integer Overflow and Underflow, SWC-123-Requirement Violation, SWC-125-Incorrect Inheritance Order, SWC-128-DoS With Block Gas Limit, SWC-108-State Variable Default Visibility, SWC-132-Unexpected Ether balance"
DAppSCAN-source/contracts/Hacken-Nimbus-V2/nim-smartcontract-12a41a194f39670637d79ef2c5bcc6a70d617781/SwapsUser.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/QuillAudits-1inch-Cumulative Merkle Drop/merkle-distribution-96fb63d0cbfea73603e7500961c71e8ab1fb8c10/contracts/CumulativeMerkleDrop.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Coinbae-Pud.Fi Masterchef_Audit/MasterChef0x15Bee180BB39eE5c0166E63313C33984376930Db/contracts/MasterChef.sol,"SWC-104-Unchecked Call Return Value, SWC-107-Reentrancy"
DAppSCAN-source/contracts/Coinbae-Pud.Fi Masterchef_Audit/MasterChef0x15Bee180BB39eE5c0166E63313C33984376930Db/contracts/lib/erc20.sol,SWC-119-Shadowing State Variables
DAppSCAN-source/contracts/PeckShield-PlutosV1/plutos-eth-contract-0777815/contracts/PMintBurn.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/PeckShield-PlutosV1/plutos-eth-contract-0777815/contracts/PLiquidateAgent.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Inspex-BlocksSpace/smart-contracts-8311a0436dba5f168fe830bd84ffc2832f8a1b38/hardhat/contracts/BLSToken.sol,SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/Hacken-RedFox-V6/nft-factory-6a2464ffd5ef95cae612a05c36885b4814fffe34/RFOXFactoryStandard.sol,SWC-103-Floating Pragma
DAppSCAN-source/contracts/PeckShield-PlutosNetworkv3/plutos-virtual-trade-e7acfbe/contracts/core/VirtualTrade.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/openzeppelin-Endaoment/endaoment-contracts-f60aa253d3d869ad6460877f23e6092acb313add/FundFactory.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/openzeppelin-Endaoment/endaoment-contracts-f60aa253d3d869ad6460877f23e6092acb313add/Administratable.sol,SWC-123-Requirement Violation
DAppSCAN-source/contracts/openzeppelin-Endaoment/endaoment-contracts-f60aa253d3d869ad6460877f23e6092acb313add/SafeMath.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/openzeppelin-Endaoment/endaoment-contracts-f60aa253d3d869ad6460877f23e6092acb313add/Fund.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/Hacken-Ground Zero/code/IDO.sol,"SWC-105-Unprotected Ether Withdrawal, SWC-104-Unchecked Call Return Value, SWC-103-Floating Pragma, SWC-107-Reentrancy, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/openzeppelin-Celo_Contracts_Audit_Release_4/celo-monorepo-f64b4c5b5228ecbf41e3e7cfdbb8c0e9a983eea2/packages/protocol/contracts/identity/IdentityProxy.sol,SWC-104-Unchecked Call Return Value
DAppSCAN-source/contracts/openzeppelin-Celo_Contracts_Audit_Release_4/celo-monorepo-f64b4c5b5228ecbf41e3e7cfdbb8c0e9a983eea2/packages/protocol/contracts/governance/Governance.sol,"SWC-123-Requirement Violation, SWC-128-DoS With Block Gas Limit"
DAppSCAN-source/contracts/Chainsulting-Curate-project/Curate/Curate.sol,SWC-103-Floating Pragma
DAppSCAN-source/contracts/consensys-Growth_Defi_V1/growthdefi-v1-core-761f0a7af73a082ac64498061749db4466673542/contracts/modules/DydxFlashLoanAbstraction.sol,SWC-128-DoS With Block Gas Limit
DAppSCAN-source/contracts/QuillAudits-Amplify voting Smart Contract/contracts-9dd44ac15cb66685a5beb038065f1673bcd6a8bb/Voting.sol,SWC-119-Shadowing State Variables
DAppSCAN-source/contracts/SlowMist-CFFv2 Smart Contract Security Audit Report/cff-contract-v2-c86bef3f13c7585f547f9cd0ca900f94664e96b7/contracts/core/CFVault.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Vaults V3/yearn-vaults-e390c2a6b2ba6e2ecc8f3a72a1ea4adfabd17544/contracts/yToken.sol,"SWC-128-DoS With Block Gas Limit, SWC-107-Reentrancy"
DAppSCAN-source/contracts/QuillAudits-Yearn Finance-Yearn Vaults V3/yearn-vaults-e390c2a6b2ba6e2ecc8f3a72a1ea4adfabd17544/contracts/BaseWrapper.sol,"SWC-128-DoS With Block Gas Limit, SWC-104-Unchecked Call Return Value"
DAppSCAN-source/contracts/Inspex-YES contracts/YuemmaiRental_YES-contracts-de7684e0f771acefabe4d5f6f3648b81e75e83ff/KAP20Lending.sol,SWC-103-Floating Pragma
DAppSCAN-source/contracts/Inspex-YES contracts/YuemmaiRental_YES-contracts-de7684e0f771acefabe4d5f6f3648b81e75e83ff/MarketImpl.sol,SWC-114-Transaction Order Dependence
DAppSCAN-source/contracts/Hacken-Amoss/code/Amoss.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Coinfabrik-RCN Network Smart Contract Audit/rcn-network-3ded36151ad55543d16c354e70161852de4061d0/contracts/NanoLoanEngine.sol,SWC-128-DoS With Block Gas Limit
DAppSCAN-source/contracts/Coinbae-Pud.Fi Strategy_Bacdai/StrategyBasisBacDaiLp0x31dfcB1C5dF01A27F8b0b5F9cD1585FE92C7970e/contracts/lib/erc20.sol,SWC-119-Shadowing State Variables
DAppSCAN-source/contracts/Coinbae-Pud.Fi Strategy_Bacdai/StrategyBasisBacDaiLp0x31dfcB1C5dF01A27F8b0b5F9cD1585FE92C7970e/contracts/strategies/strategy-base.sol,SWC-104-Unchecked Call Return Value
DAppSCAN-source/contracts/Coinbae-Pud.Fi Strategy_Bacdai/StrategyBasisBacDaiLp0x31dfcB1C5dF01A27F8b0b5F9cD1585FE92C7970e/contracts/strategies/strategy-basis-farm-base.sol,SWC-104-Unchecked Call Return Value
DAppSCAN-source/contracts/Hacken-Bitcoin SB-V2/code/BSB_StakingSmartStakers.sol,SWC-128-DoS With Block Gas Limit
DAppSCAN-source/contracts/PeckShield-OlympusDAO/olympus-contracts-cdd4afe9c31403d8d5e2e96cadc5aaee2d0e6c93/contracts/OlympusERC20.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Callisto_Network-Worthpad Security Audit Report/worth-71760542a40e580ad6c0c57c5ec5798072c0a3b0/WorthTokenTimeLock.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Callisto_Network-Worthpad Security Audit Report/worth-71760542a40e580ad6c0c57c5ec5798072c0a3b0/WorthTokenSale.sol,SWC-105-Unprotected Ether Withdrawal
DAppSCAN-source/contracts/QuillAudits-C.R.E.A.M. Finance-Flashloan/compound-protocol-e414160eb8a774140457c885bb099baae528df04/contracts/CCapableErc20.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/Hacken-Talent Protocol/contracts-70acb4924503fad6416ffa44b117ab51bef3fd21/Staking.sol,SWC-116-Block values as a proxy for time
DAppSCAN-source/contracts/Hacken-Sekuritance/TokenMintERC20Token0x887168120cb89Fb06F3E74Dc4AF20D67dF0977f6/TokenMintERC20Token0x887168120cb89Fb06F3E74Dc4AF20D67dF0977f6.sol,SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/Hacken-Valhalla/Solidity-70de7d9daccb6d812b2ab96f20fb4aa2605e2601/erc20/ERC20.sol,"SWC-103-Floating Pragma, SWC-102-Outdated Compiler Version"
DAppSCAN-source/contracts/Smartdec-Opium Smart Contracts Security Analysis/opium-contracts-60ff6f80996b83f6ad19c35b74480fef34f7dc03/contracts/Core.sol,SWC-103-Floating Pragma
DAppSCAN-source/contracts/Hacken-Centrality/bridge-contracts-047cecbfc86f10cdc3310c6ebb399de2e7c737a3/CENNZnetBridge.sol,SWC-105-Unprotected Ether Withdrawal
DAppSCAN-source/contracts/Iosiro-Synthetix Kaus Release Smart Contract Audit/synthetix-0bae287386fe135eb9a38a7c4e7b6a6047fcd25e/Issuer.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/QuillAudits-DOXY - v1.3/code/DoxyFinance_V3.sol,"SWC-100-Function Default Visibility, SWC-103-Floating Pragma, SWC-129-Typographical Error, SWC-108-State Variable Default Visibility, SWC-122-Lack of Proper Signature Verification, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/QuillAudits-AQEX Token Smart Contract/erc-20-token-3628abfa6ea2636866f7d5ad1f8cc570b0d5bb1b/Token.sol,SWC-103-Floating Pragma
DAppSCAN-source/contracts/Chainsulting-SWAPP Protocol-project2/openzeppelin-contracts-4.2.0/contracts/access/AccessControl.sol,SWC-103-Floating Pragma
DAppSCAN-source/contracts/QuillAudits-Amplify Smart Contract (vesting)/contracts-d8af5f11f3b6ab59d09a56ebc229012900dc1cc8/Vesting.sol,"SWC-116-Block values as a proxy for time, SWC-128-DoS With Block Gas Limit"
DAppSCAN-source/contracts/Coinfabrik-EasyPool Smart Contract Security Audit/EasyPool-master/contracts/Migrations.sol,SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/QuillAudits-Lido-stETH Price Feed/steth-price-feed-459495f07c97d04f6e3839e7a3b32acfcade22ad/contracts/PriceFeedProxy.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/Smartdec-TokenBridge (by POA Network) Smart Contracts Security Analysis/tokenbridge-contracts-bbb97a63c900f03a902d0e82358abac3b294e4d9/contracts/ERC677.sol,SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/Smartdec-TokenBridge (by POA Network) Smart Contracts Security Analysis/tokenbridge-contracts-bbb97a63c900f03a902d0e82358abac3b294e4d9/contracts/upgradeable_contracts/BaseFeeManager.sol,SWC-110-Assert Violation
DAppSCAN-source/contracts/Smartdec-TokenBridge (by POA Network) Smart Contracts Security Analysis/tokenbridge-contracts-bbb97a63c900f03a902d0e82358abac3b294e4d9/contracts/upgradeable_contracts/erc20_to_erc20/HomeBridgeErcToErc.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/consensys-Skale_Network/skale-manager-cf4a07a5198b387fd128e1863a26bbfc789856c4/contracts/Nodes.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/consensys-Skale_Network/skale-manager-cf4a07a5198b387fd128e1863a26bbfc789856c4/contracts/SchainsInternal.sol,SWC-128-DoS With Block Gas Limit
DAppSCAN-source/contracts/consensys-Skale_Network/skale-manager-cf4a07a5198b387fd128e1863a26bbfc789856c4/contracts/BountyV2.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/QuillAudits-HE - v1.2/heroes-empires-contract-f24ba85db4bf40e39caaa5fc322a02cd8e82c2c7/src/contracts/Stake.sol,"SWC-100-Function Default Visibility, SWC-123-Requirement Violation, SWC-103-Floating Pragma, SWC-111-Use of Deprecated Solidity Functions, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/QuillAudits-1inch-FixedFeeSwap/fixed-rate-swap-ac5dbd4a5e46f501e0a4a728f1725095b11f3fbd/contracts/FixedFeeSwap.sol,SWC-131-Presence of unused variables
DAppSCAN-source/contracts/PeckShield-VeChain/vvet-818fa11f7595e257cb28fa5475c17c60c11a4902/vvet/contracts/StakingModel.sol,"SWC-101-Integer Overflow and Underflow, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/PeckShield-VeChain/vvet-818fa11f7595e257cb28fa5475c17c60c11a4902/vvet/contracts/VVET9.sol,"SWC-114-Transaction Order Dependence, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/openzeppelin-Blockchain_Capital_Token/BCAPToken-5cb5e76338cc47343ba9268663a915337c8b268e/sol/BCAPToken.sol,"SWC-102-Outdated Compiler Version, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/PeckShield-Qubit/qubit-finance-f37f63caca893159b59cf89e506a5781f52b77b5/contracts/QubitToken.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/consensys-AragonOS_and_Aragon_Apps/aragonOS-a68479107f564e6be98a6b877b78f635fca96dbe/contracts/common/TimeHelpers.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/QuillAudits-Lido-Deposit Security Module/lido-dao-5b449b740cddfbef5c107505677e6a576e2c2b69/contracts/0.4.24/Lido.sol,"SWC-128-DoS With Block Gas Limit, SWC-126-Insufficient Gas Griefing"
DAppSCAN-source/contracts/QuillAudits-Lido-Deposit Security Module/lido-dao-5b449b740cddfbef5c107505677e6a576e2c2b69/contracts/0.4.24/nos/NodeOperatorsRegistry.sol,"SWC-128-DoS With Block Gas Limit, SWC-101-Integer Overflow and Underflow, SWC-135-Code With No Effects"
DAppSCAN-source/contracts/QuillAudits-Lido-Deposit Security Module/lido-dao-5b449b740cddfbef5c107505677e6a576e2c2b69/contracts/0.8.9/DepositSecurityModule.sol,"SWC-108-State Variable Default Visibility, SWC-135-Code With No Effects"
"DAppSCAN-source/contracts/Inspex-AutoStake, ThorusMaster & Token/contracts-ea34f1b89a39b89ae12ea6a0a5be0cad81cf464e/ThorusAutoStake.sol",SWC-102-Outdated Compiler Version
"DAppSCAN-source/contracts/Inspex-AutoStake, ThorusMaster & Token/contracts-ea34f1b89a39b89ae12ea6a0a5be0cad81cf464e/ThorusToken.sol",SWC-102-Outdated Compiler Version
"DAppSCAN-source/contracts/Inspex-AutoStake, ThorusMaster & Token/contracts-ea34f1b89a39b89ae12ea6a0a5be0cad81cf464e/ThorusMaster.sol",SWC-102-Outdated Compiler Version
DAppSCAN-source/contracts/Hacken-Chimeras/chim-chain-094d95aaed7adc95fafb60ebad6c64c7588f3cd2/ChimVesting.sol,SWC-116-Block values as a proxy for time
DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919/contracts/exchangeV3/wrappersV3/KyberWrapperV3.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919/contracts/exchangeV3/offchainWrappersV3/ZeroxWrapper.sol,SWC-101-Integer Overflow and Underflow
DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919/contracts/utils/ZrxAllowlist.sol,SWC-135-Code With No Effects
DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919/contracts/actions/flashloan/FLAaveV2.sol,SWC-107-Reentrancy
DAppSCAN-source/contracts/consensys-DeFi_Saver/defisaver-v3-contracts-cb29669a84c2d6fffaf2231c0938eb407c060919/contracts/actions/compound/helpers/CompHelper.sol,SWC-104-Unchecked Call Return Value
